18 digit Property ID,ARC Program: ID,ARC Program: Program ID,Billing Code (AccPac),Operations Region,Property Name (formula),SEO Cost,Program Official Start,UA Code,View ID,Current Property Owner,Units
a078000000VD7KYAA1,a2i80000003Tbiw,PGM-60542,1759,Southwest,Elite North Scottsdale,300,10/26/2017,UA-107271747-3,189930604,The Bascom Group,360
a078000000SpXReAAN,a2i80000003TlHB,PGM-62813,1789,Southwest,Elux at Tramonto,300,5/25/2018,UA-107271747-10,175962654,Snowdon Partners,138
a078000000S06oOAAR,a2i800000048GxO,PGM-37625,1523,Southwest,Broadstone Scottsdale Quarter,300,8/18/2016,UA-82744513-1,188428116,Invesco Realty Advisors,275
a078000000OL1ieAAD,a2i800000048Gzm,PGM-37773,1174,Southwest,Broadstone Waterfront,600,6/13/2014,UA-48943619-1,169065291,JP Morgan,259
a078000000QDAHmAAP,a2i800000048Gym,PGM-37711,1357,Southwest,Zocalo,300,10/19/2015,UA-70240003-1,188423721,Alliance Residential Company,54
a078000000TwkIJAAZ,a2i800000048Guz,PGM-37476,1677,Southwest,Park Place (AZ),900,10/2/2017,UA-86860765-12,161231490,Real Capital Solutions,230
a078000000U1E9EAAV,a2i800000048GvS,PGM-37505,1692,Southwest,Broadstone Paradise Valley,300,8/14/2017,UA-86860765-10,188430974,Alliance Residential Company,168
a078000000U1I5rAAF,a2i800000048GvL,PGM-37498,1689,Southwest,CityScape at Lakeshore,300,1/10/2018,UA-86860765-11,176644772,Aukum,214
a078000000QoFnXAAV,a2i800000048Gyb,PGM-37700,1353,Southwest,The Met at Fashion Center,600,9/14/2015,UA-67073804-1,153649712,HCW,303
a078000000RyrgyAAB,a2i800000048Gus,PGM-37469,1679,Southwest,Peak 16,600,9/1/2017,UA-86860765-6,189961473,Van Trust (VT) Inc.,233
a078000000TvxN6AAJ,a2i800000048GwG,PGM-37555,1622,Southwest,Crescent Highland,300,4/24/2017,UA-55890476-13,153370710,Crescent Communities,349
a078000000TwhJsAAJ,a2i800000048Gw5,PGM-37544,1658,Southwest,Solitude at Centennial,300,11/22/2017,UA-28080357-10,188422901,Kennedy Wilson,272
a078000000TwhJnAAJ,a2i800000048Gw4,PGM-37543,1657,Southwest,Monaco Park,300,9/29/2017,UA-28080357-9,188428499,Kennedy Wilson,284
a078000000TwhJdAAJ,a2i800000048Gw3,PGM-37542,1656,Southwest,Sunstone,300,9/27/2017,UA-28080357-8,188434227,Kennedy Wilson,184
a078000000KnJ8BAAV,a2i800000048H0S,PGM-37815,1417,Southwest,The Lincoln Scottsdale,300,4/30/2014,UA-43416812-1,151562570,Property Reserve Inc.,264
a078000000TvA4IAAV,a2i800000048Gwi,PGM-37583,1609,Southwest,Vue at Centennial,300,1/26/2017,UA-28080357-4,174134632,Blue Marble Development,372
a078000000HpdVAAAZ,a2i800000048H15,PGM-37854,913,Southwest,San Tierra,300,6/15/2016,UA-28259906-1,174117731,"Belkorp Industries, Inc.",284
a0780000002w4QAAAY,a2i800000048H0x,PGM-37846,1593,Southwest,La Ventana,300,4/4/2018,UA-36480102-1,189904098,Millburn & Company,232
a0780000003RypeAAC,a2i800000048H1Q,PGM-37875,1296,Southwest,The Bristol at Sunset,300,4/30/2014,UA-27987950-1,159221667,Kennedy Wilson,432
a078000000FoiCXAAZ,a2i800000048H1L,PGM-37870,846,Southwest,The Palladium,300,3/31/2015,UA-21992416-1,174133921,AEW Capital Management,252
a078000000Ho7XuAAJ,a2i800000048H1C,PGM-37861,895,Southwest,GlenEagles,300,4/11/2019,UA-27442614-1,174115646,AEW Capital Management,331
a078000000CWVnQAAX,a2i800000048H1Y,PGM-37883,1204,Southwest,Symphony,300,4/30/2014,UA-20854080-1,188426728,MIG Real Estate,234
a078000000LoSMzAAN,a2i800000048H0i,PGM-37831,1033,Southwest,Mosaic,300,10/31/2014,UA-38450913-1,188407757,MIG Real Estate,304
a078000000TxQu2AAF,a2i800000048Gv8,PGM-37485,1734,Southwest,Bella Sera,300,9/26/2017,UA-107271747-1,189903869,Pacific Life Insurance Company,200
a078000000NCFFGAA5,a2i800000048H02,PGM-37789,1548,Southwest,CityScape Residences,300,2/21/2018,UA-38165750-1,183124033,Invesco Realty Advisors,224
a078000000Wj9W0AAJ,a2i80000003V2r7,PGM-78616,1952,Southwest,The Angela,300,5/10/2019,UA-107271747-23,195088886,StreetLights Residential,253
a0780000002w57MAAQ,a2i2E0000053Z21,PGM-84407,2006,Southwest,Vaseo,300,12/13/2018,UA-67679801-1,153638834,Klein Financial Corporation,1222
a072E00000WuZyUQAV,a2i2E0000053fDE,PGM-85557,2031,Southwest,Xander 3900,900,3/26/2019,UA-66518042-1,153634454,LivCor,480
a078000000W5LVWAA3,a2i80000003UIm2,PGM-73247,1899,Southwest,Jefferson Town Lake,600,11/30/2018,UA-107271747-12,185853218,"JPI Partners, LLC",244
a078000000W6liuAAB,a2i80000003Urln,PGM-76020,1867,Southwest,Elysian at the District,600,8/6/2018,UA-28080357-15,179629188,The Calida Group,360
a078000000WkBo6AAF,a2i800000053NDN,PGM-79994,1925,Southwest,Novel Rio,1200,10/3/2018,UA-107271747-16,182985872,Crescent Communities,209
a078000000VGCXLAA5,a2i80000003UDZx,PGM-70770,1828,Southwest,Ten01,300,4/10/2018,UA-107271747-11,173205920,Prudential,523
a072E00000WuaWRQAZ,a2i2E0000053fPn,PGM-85765,2036,Southwest,Pointe at Centennial (South),600,3/6/2019,UA-28080357-22,191379313,The Calida Group,312
a0780000003RyrgAAC,a2i2E0000053WWQ,PGM-82917,1978,Southwest,Artessa,300,11/15/2018,UA-33018482-1,153605649,MetLife,298
a078000000UPvxKAAT,a2i80000003MEa5,PGM-55424,1751,Southeast,Station R,300,12/5/2017,UA-27983644-3,165790045,GAIA Real Estate,285
a078000000TvBZLAA3,a2i800000048Gwl,PGM-37586,1608,Southeast,Crosswynde Apartments,300,4/24/2017,UA-75412811-4,186835980,ESG Kullen,294
a078000000RozB8AAJ,a2i800000048Gxx,PGM-37660,1446,Southeast,Grand Pavilion,600,5/18/2016,UA-78230999-1,186811176,ESG Kullen,264
